"Source:","C:\Users\vicky\Desktop\2023Spring\ECE 445\smartmug\smartmug\heating.kicad_sch"
"Date:","3/28/2023 8:30:32 PM"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","5"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","Heater1","Heater","Device:Heater","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","PS1","MEE1S0305SC","Converter_DCDC:MEE1S0305SC","Converter_DCDC:Converter_DCDC_Murata_MEE1SxxxxSC_THT","https://power.murata.com/pub/data/power/ncl/kdc_mee1.pdf"
"","","Q1","DMN2058U","Transistor_FET:DMN2058U","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/DMN2058U.pdf"
"","","R1","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"","","R2","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","Heater1","Heater","Device:Heater","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"2","1","PS1","MEE1S0305SC","Converter_DCDC:MEE1S0305SC","Converter_DCDC:Converter_DCDC_Murata_MEE1SxxxxSC_THT","https://power.murata.com/pub/data/power/ncl/kdc_mee1.pdf"
"3","1","Q1","DMN2058U","Transistor_FET:DMN2058U","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/assets/Datasheets/DMN2058U.pdf"
"4","1","R1","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"5","1","R2","10k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
